Upgrade_ID,Upgrade_char,Upgrade_ingrd_C1,Upgrade_ingrd_Itm1,Ingrd_Itm1_amount,Upgrade_ingrd_Itm2,Ingrd_Itm2_amount,Upgrade_info
9012001,12010101,11010101,7110,10,0,0,캐릭터 하나 (등급2 lv1)을 만들기 위해서는 캐릭터 하나 (등급1 lv1) + 하나 캐릭터 조각 10개 가 필요하다.
9012002,12020101,11020101,7110,10,0,0,캐릭터 하나 (등급2 lv2) = 하나 (등급1 lv2) + (7110) 10개
9012003,12030101,11030101,7110,10,0,0,캐릭터 하나 (등급2 lv3) = 하나 (등급1 lv3) + (7110) 10개
9012004,12040101,11040101,7110,10,0,0,캐릭터 하나 (등급2 lv4) = 하나 (등급1 lv4) + (7110) 1개
9012005,12050101,11050101,7110,10,0,0,캐릭터 하나 (등급2 lv5) = 하나 (등급1 lv5) + (7110) 10개
9012006,12060101,11060101,7110,10,0,0,캐릭터 하나 (등급2 lv6) = 하나 (등급1 lv6) + (7110) 10개
9012007,12070101,11070101,7110,10,0,0,캐릭터 하나 (등급2 lv7) = 하나 (등급1 lv7) + (7110) 10개
9012008,12080101,11080101,7110,10,0,0,캐릭터 하나 (등급2 lv8) = 하나 (등급1 lv8) + (7110) 10개
9012009,12090101,11090101,7110,10,0,0,캐릭터 하나 (등급2 lv9) = 하나 (등급1 lv9) + (7110) 10개
9012010,12100101,11100101,7110,10,0,0,캐릭터 하나 (등급2 lv10) = 하나 (등급1 lv10) + (7110) 10개
9013001,13010101,12010101,7110,20,0,0,캐릭터 하나 (등급3 lv1)을 만들기 위해서는 캐릭터 하나 (등급2 lv1) + 하나 캐릭터 조각 20개 가 필요하다.
9013002,13020101,12020101,7110,20,0,0,캐릭터 하나 (등급3 lv2) = 하나 (등급2 lv2) + (7110) 20개
9013003,13030101,12030101,7110,20,0,0,캐릭터 하나 (등급3 lv3) = 하나 (등급2 lv3) + (7110) 20개
9013004,13040101,12040101,7110,20,0,0,캐릭터 하나 (등급3 lv4) = 하나 (등급2 lv4) + (7110) 20개
9013005,13050101,12050101,7110,20,0,0,캐릭터 하나 (등급3 lv5) = 하나 (등급2 lv5) + (7110) 20개
9013006,13060101,12060101,7110,20,0,0,캐릭터 하나 (등급3 lv6) = 하나 (등급2 lv6) + (7110) 20개
9013007,13070101,12070101,7110,20,0,0,캐릭터 하나 (등급3 lv7) = 하나 (등급2 lv7) + (7110) 20개
9013008,13080101,12080101,7110,20,0,0,캐릭터 하나 (등급3 lv8) = 하나 (등급2 lv8) + (7110) 20개
9013009,13090101,12090101,7110,20,0,0,캐릭터 하나 (등급3 lv9) = 하나 (등급2 lv9) + (7110) 20개
9013010,13100101,12100101,7110,20,0,0,캐릭터 하나 (등급3 lv10) = 하나 (등급2 lv10) + (7110) 20개
9014001,14010101,13010101,7110,30,0,0,캐릭터 하나 (등급4 lv1)을 만들기 위해서는 캐릭터 하나 (등급3 lv1) + 하나 캐릭터 조각 30개 가 필요하다.
9014002,14020101,13020101,7110,30,0,0,캐릭터 하나 (등급4 lv2) = 하나 (등급3 lv2) + (7110) 30개
9014003,14030101,13030101,7110,30,0,0,캐릭터 하나 (등급4 lv3) = 하나 (등급3 lv3) + (7110) 30개
9014004,14040101,13040101,7110,30,0,0,캐릭터 하나 (등급4 lv4) = 하나 (등급3 lv4) + (7110) 30개
9014005,14050101,13050101,7110,30,0,0,캐릭터 하나 (등급4 lv5) = 하나 (등급3 lv5) + (7110) 30개
9014006,14060101,13060101,7110,30,0,0,캐릭터 하나 (등급4 lv6) = 하나 (등급3 lv6) + (7110) 30개
9014007,14070101,13070101,7110,30,0,0,캐릭터 하나 (등급4 lv7) = 하나 (등급3 lv7) + (7110) 30개
9014008,14080101,13080101,7110,30,0,0,캐릭터 하나 (등급4 lv8) = 하나 (등급3 lv8) + (7110) 30개
9014009,14090101,13090101,7110,30,0,0,캐릭터 하나 (등급4 lv9) = 하나 (등급3 lv9) + (7110) 30개
9014010,14100101,13100101,7110,30,0,0,캐릭터 하나 (등급4 lv10) = 하나 (등급3 lv10) + (7110) 30개
9022001,12010502,11010502,7113,10,0,0,캐릭터 세라 (등급2 lv1)을 만들기 위해서는 캐릭터 세라 (등급1 lv1) + 세라 캐릭터 조각 10개 가 필요하다.
9022002,12020502,11020502,7113,10,0,0,캐릭터 세라 (등급2 lv2) = 세라 (등급1 lv2) + (7110) 10개
9022003,12030502,11030502,7113,10,0,0,캐릭터 세라 (등급2 lv3) = 세라 (등급1 lv3) + (7110) 10개
9022004,12040502,11040502,7113,10,0,0,캐릭터 세라 (등급2 lv4) = 세라 (등급1 lv4) + (7110) 1개
